id,vraag,categorie
wat36,Wat waardeer je in anderen,wat
wat17,Wat heb jij van je ouders overgenomen,wat
wat18,Wat is jouw favoriete spel,wat
,Wat was als kind jouw droombaan,wat
,Wat is jouw avondritueel,wat
wat24,Wat is liefde voor jou,wat
wat22,Wat staat er op je verlanglijstje,wat
,Wat zou je doen als je voor één dag weer kind was,wat
wat20,Wat is iets dat weinig mensen over jou weten,wat
wat29,Wat maakt jou bijzonder,wat
wat21,Wat is je favoriete feestdag,wat
,Wat is de perfecte snack voor bij de thee,wat
,Wat is jouw favoriete dag van de week,wat
wat23,Wat is jouw favoriete sprookje,wat
,Wat was voor jou een levensveranderende ervaring,wat
,Wat is jouw favoriete genre boeken,wat
,Wat is het beste advies dat je ooit hebt gekregen,wat
wat19,Wat is jouw mooiste avontuur,wat
wat28,Wat zou je doen met een extra dag in de week,wat
wat37,Wat zijn drie positieve dingen aan deze dag,wat
wat35,Wat is het mooiste plekje van Nederland,wat
wat26,Wat zou je doen als een dag koning(in) was,wat
wat27,Wat moet blijven zoals het nu is,wat
wat31,Wat wil je deze week bereiken,wat
wat34,Wat staat er op jouw favoriete foto,wat
wat32,Wat zou er in het eerste hoofdstuk van jouw biografie staan,wat
,Wat was jouw favoriete televisie programma toen je klein was,wat
wat33,Wat was jouw eerste baan(tje),wat
wat14,Wat doe je voordat je naar bed gaat om lekker te kunnen slapen,wat
,Wat staat er altijd bij jou in de koelkast,wat
wat38,Wat zou je kopen van je laatste vijf euro,wat
wat25,Wat kun je makkelijk uren achter elkaar doen,wat
wat30,Wat was je laatste overwinning,wat
wat1,Wat vind je het mooiste aan jezelf,wat
wat2,Wat is jouw levensmotto,wat
wat3,Wat maakt de band met jouw beste vriend(in) bijzonder,wat
wat16,Wat zijn de leukste dingen in het leven,wat
wat4,Wat is je natuurlijk gave,wat
wat5,Wat doe jij om je hoofd leeg te maken,wat
wat6,Wat is je lievelingseten,wat
wat7,Wat zou je doen als je wist dat je niet kon falen,wat
wat8,Wat was vroeger jouw favoriete liedje,wat
wat9,Wat is het gekste dat je in het buitenland hebt meegemaakt,wat
wat15,Wat is je favoriete filmgenre,wat
wat10,Wat is voor jou het woord van het jaar,wat
wat13,Wat maakt jou blij vandaag,wat
wat11,Wat is jouw favoriete muziekinstrument,wat
wat12,Wat had je nog graag op school willen leren,wat
welk25,Welk beroep zou je voor een dag willen uitoefenen,welk
welk38,Welk stripfiguur lijkt op jou,welk
,Welk liedje herinnert je aan jouw kindertijd,welk
welk31,Welk detail van vandaag wil je onthouden,welk
welk16,Welk positief nieuws van deze week is je bijgebleven,welk
welk22,Welk compliment mag je jezelf geven vandaag,welk
welk27,Welk dier zou je voor een dag willen zijn,welk
,Welk beroep zou je kiezen als je alles zou kunnen worden,welk
,Welk liedje roept speciale herinneringen op,welk
welk12,Welk cadeau dat jij hebt gegeven zou je zelf ook willen,welk
welk14,Welk boek heeft indruk op jou gemaakt,welk
welk8,Welk gerecht kan jij het beste koken,welk
welk11,Welk liedje zou je zingen als je meedeed aan een zangwedstrijd,welk
welk2,Welk verhaal wordt altijd over jou verteld,welk
welk30,Welk vak ontbreekt volgens jou op school,welk
welk28,Welk advies zou jij je jongere zelf geven,welk
,Welk dier geeft jouw karakter het beste weer,welk
welk32,Welke tradities heb je binnen jouw familie,welk
welk33,Welke gewoonte wil je graag afleren,welk
welk21,Welke feestdag lekkernij mag het hele jaar verkrijgbaar zijn,welk
,Welke film heb je al meer dan 10 keer gezien,welk
welk34,Welke cultuur fascineert jou,welk
welk23,Welke vraag zou je op een theelabel zetten,welk
,Welke bordspellen staan in je top drie,welk
welk24,Welke muziek raakt jou,welk
welk13,Welke gebeurtenis heeft je gemaakt tot wie je nu bent,welk
welk5,Welke vakantie zou je willen herbeleven,welk
welk4,Welke 3 thee smaken drink jij het liefst,welk
welk15,Welke goede gewoonte wil je aanleren,welk
welk1,Welke hobby van vroeger zou je weer willen oppakken,welk
welk9,Welke stad in Nederland wil je nog graag een keer bezoeken,welk
welk10,Welke eigenschap vind jij het belangrijkst bij een vriend(in),welk
,Welke naam vind jij echt mooi,welk
welk36,Welke angst heb jij overwonnen,welk
welk37,Welke zonsondergang is jou bijgebleven,welk
welk19,Welke levensles wil je doorgeven aan anderen,welk
,Welke film heeft echt indruk op jou gemaakt,welk
welk26,Aan welke spelshow zou je willen meedoen,welk
welk18,Bij welke liedje kun je niet stil blijven zitten,welk
welk20,Bij welk gebouw zou je wel eens binnen willen kijken,welk
welk29,In welk tijdperk zou je willen leven,welk
welk6,Met welk familielid deel je de mooiste jeugdherinneringen,welk
welk17,Met welke beroemdheid zou je een dagje uit willen,welk
welk35,Met welk familielid zou je een dag willen ruilen,welk
,Uit welke kleine dingen haal je geluk,welk
welk3,Van welke muziek wordt je vrolijk,welk
welk7,Van welk bordspel word jij het meest fanatiek,welk
hoe11,Hoe heb jij je eerste liefde leren kennen,hoe
hoe3,Hoe het jij een ander in het zonnetje,hoe
,Hoe sta jij bij je vrienden bekend,hoe
,Hoe ziet de wereld er uit over 10 jaar,hoe
hoe10,Hoe laat je blijken dat je van iemand houdt,hoe
hoe2,Hoe voel je je vandaag,hoe
hoe6,Hoe ben je de afgelopen vijf jaar veranderd,hoe
hoe5,Hoe ziet jouw droomhuis eruit,hoe
hoe8,Hoe ziet jouw perfecte vrijdagavond eruit,hoe
hoe4,Hoe ziet jouw ideale zondag eruit,hoe
hoe1,Hoe ziet jouw ideale vrije dag eruit,hoe
hoe9,Hoe kijk je terug op je leven tot nu toe,hoe
hoe7,Hoe zou een vriend(in) jou omschrijve,hoe
,Hoeveel stappen zet jij op een dag,hoe
wie5,Wie fleurt jou op op een sombere dag,wie
,Wie zou je meenemen naar de maan,wie
,Wie inspireert jou,wie
,Wie inspireert jou om een beter mens te zijn,wie
wie6,Wie zou je meer complimentjes moeten geven,wie
wie13,Wie biedt jou altijd een luisterend oor,wie
wie8,Wie zou je vandaag kunnen helpen,wie
,Wie moet je weer eens opzoeken,wie
wie9,Wie wil je beter leren kennen,wie
wie11,Wie maakt jou blij,wie
wie12,Wie heeft jou veel geleerd,wie
wie7,Wie kent jou het beste,wie
wie4,Wie is jouw voorbeeld,wie
,Bij wie vind je rust,wie
wie3,Bij wie voel jij je veilig,wie
wie10,Met wie vier je het liefst je verjaardag,wie
,Met wie moet je snel weer eens afspreken,wie
wie1,Met wie heb jij de grootste lol,wie
wie2,Van wie kreeg jij je eerste kus,wie
,Voor wie zou je door het vuur gaan,wie
,Wanneer heb jij jezelf voor het laatst uitgedaagd,wanneer
wanneer5,Wanneer voel jij je ergens thuis,wanneer
,Wanneer heb je voor het laatst een brief met de hand geschreven,wanneer
wanneer4,Wanneer heb je voor het laatst iets nieuws gedaan,wanneer
wanneer1,Wanneer liet je voor het laatst merken dat je ergens dankbaar voor was,wanneer
wanneer2,Wanneer heb jij voor het laatst geweldig gegeten,wanneer
wanneer3,Wanneer heb jij voor het laatst een kaartje gestuurd,wanneer
,Waarom is het fijn om jou als vriend(in) te hebben,waarom
waar4,Waar werd je als kind blij van,waar
waar7,Waar kijk je naar uit deze week,waar
waar9,Waar kijk je het meest naar uit aankomend weekend,waar
waar12,Waar praat je graag over,waar
waar6,Waar besteed jij op een vrije dag de meeste tijd aan,waar
waar11,Waar heb je geen geduld voor,waar
waar5,Waar drink je het liefst een kopje thee,waar
waar10,Waar zou je wel een jaar lang gratis toegang tot willen hebben,waar
waar1,Waar wil je het liefst naartoe op reis,waar
waar2,Waar zou je nu het liefst willen zijn,waar
waar3,Waar droom je vaak over,waar
waar8,Waar zou je vaker over willen praten,waar
misc1,Wil je blijven wonen waar je nu woont,misc
misc4,Ben je bijgelovig,misc
,Ben je een dromer denker of doener,misc
misc3,Doe je weleens wat aardigs voor een vreemde,misc
,Geef jij onbekenden wel eens een helpende hand,misc
misc8,Geloof je in ware liefde,misc
,Kies je voor uitgebreid ontbijten of uitgebreid dineren,misc
,Kun je een nieuwe theesmaak bedenken,misc
misc2,Kun je goed alleen zijn,misc
,Liever 1 jaar vooruit of 1 jaar terug,misc
misc6,Liever koken of eten bestellen,misc
misc5,Zou je op Mars zillen wonen als dat kon,misc
misc7,Woon je liever in een stad of in een dorp,misc
